ENGINE_RUN_TIME,ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,FUEL_AIR_COMMANDED_EQUIV_RATIO,ABSOLUTE_BAROMETRIC_PRESSURE,RELATIVE_THROTTLE_POSITION,INTAKE_AIR_TEMP,TIMING_ADVANCE,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,CONTROL_MODULE_VOLTAGE,COMMANDED_EVAPORATIVE_PURGE,TIME_RUN_WITH_MIL_ON,TIME_SINCE_TROUBLE_CODES_CLEARED,DISTANCE_TRAVELED_WITH_MIL_ON,WARM_UPS_SINCE_CODES_CLEARED,timestamp
994,1597.5,46,17.647058,20.392157,86,0.78125,0.0,22,34.117645,52.941177,21.568628,37.254902,20.392157,0,101,2.352941,44,9,487.299988,425.700012,13.73,0.0,0,12764,0,255,3/13/2025
1578,808.5,11,16.470589,26.666666,88,0.78125,0.0,26,36.07843,47.843136,16.078432,31.764706,16.470589,0,101,0.0,45,3,508.5,393.0,13.691,29.411764,0,12774,0,255,3/13/2025
1755,1334.25,29,17.254902,20.784313,86,0.78125,7.8125,21,33.333332,52.156864,21.17647,36.862743,18.82353,0,101,1.176471,48,3,476.5,357.299988,13.691,0.0,0,12777,0,255,3/13/2025
2237,552.25,0,16.470589,34.509804,94,0.78125,-0.78125,36,33.333332,48.235294,16.078432,31.764706,16.470589,0,101,0.0,56,8,434.0,308.299988,13.574,32.549019,0,12785,0,255,3/13/2025
1532,1068.75,23,22.745098,50.588234,87,-0.78125,3.125,56,48.235294,54.901962,22.745098,38.431374,21.960785,0,101,3.137255,43,9,545.5,426.299988,13.632,100.0,0,12773,0,255,3/13/2025
200,1507.75,30,21.960785,45.098038,85,0.0,1.5625,45,37.254902,54.509804,23.529411,39.607841,21.568628,0,100,2.352941,36,20,443.5,237.700012,13.925,3.529412,0,12751,0,255,3/13/2025
1667,724.0,24,16.078432,27.450981,87,0.78125,4.6875,28,34.117645,47.843136,16.078432,31.764706,16.078432,0,101,0.0,46,-2,460.5,355.399994,13.652,0.0,0,12775,0,255,3/13/2025
1277,1710.0,48,20.392157,33.333332,86,0.78125,-0.78125,33,37.254902,52.941177,21.960785,38.039215,20.392157,0,101,1.960784,43,26,527.5,403.5,13.75,79.607841,0,12769,0,255,3/13/2025
1007,1287.5,37,18.82353,29.019608,87,0.78125,1.5625,29,32.941177,50.980392,16.078432,31.764706,18.82353,0,101,0.0,44,4,485.900024,413.899994,13.671,30.196079,0,12764,0,255,3/13/2025
1009,1058.5,32,16.862745,22.352942,87,0.78125,7.03125,23,34.117645,49.411766,18.039215,34.509804,18.431372,0,101,0.0,45,12,483.599976,409.700012,13.71,0.0,0,12764,0,255,3/13/2025
1583,795.25,3,16.470589,27.058823,88,0.78125,-1.5625,28,36.07843,47.843136,16.078432,31.764706,16.470589,0,101,0.0,46,1,505.400024,390.200012,13.671,29.019608,0,12774,0,255,3/13/2025
2098,723.25,10,16.470589,30.588236,90,0.78125,1.5625,30,29.411764,49.803921,16.078432,31.764706,18.82353,0,101,0.0,53,7,479.400024,348.799988,13.554,32.549019,0,12783,0,255,3/13/2025
2110,652.25,9,16.470589,32.941177,89,0.78125,-0.78125,32,28.627451,47.843136,16.078432,31.764706,16.470589,0,101,0.0,54,-6,471.200012,341.700012,13.535,29.803921,0,12783,0,255,3/13/2025
327,957.0,11,21.568628,68.235291,88,-1.5625,3.125,70,39.215687,53.333332,21.17647,36.862743,21.17647,0,100,1.176471,40,7,496.700012,351.100006,13.652,0.0,0,12753,0,255,3/13/2025
1210,1985.0,42,20.392157,34.509804,86,1.5625,-1.5625,30,35.294117,54.117645,22.352942,38.039215,21.17647,0,101,2.745098,44,28,494.5,397.200012,13.71,97.254906,0,12768,0,255,3/13/2025
244,1584.25,21,17.647058,27.058823,87,0.78125,-0.78125,24,38.431374,54.901962,23.921568,40.0,21.568628,0,100,2.745098,37,12,474.400024,292.200012,13.886,0.0,0,12752,0,255,3/13/2025
21,876.5,6,18.431372,32.549019,53,1.5625,0.0,35,37.254902,51.372547,19.607843,35.294117,19.215687,0,100,0.0,34,-4,92.399994,41.199997,11.0,0.0,0,12748,0,255,3/13/2025
2052,828.75,3,18.82353,42.745098,87,0.78125,-3.125,44,33.333332,50.980392,16.078432,31.764706,18.82353,0,101,0.0,52,0,503.099976,370.299988,13.515,53.725491,0,12782,0,255,3/13/2025
931,1421.75,43,17.647058,19.215687,86,0.78125,4.6875,21,38.431374,49.803921,16.078432,31.764706,17.647058,0,103,0.0,45,1,551.400024,418.700012,13.671,0.0,0,12763,0,255,3/13/2025
1576,836.5,13,16.470589,25.882353,88,0.78125,3.90625,27,36.07843,47.843136,16.078432,31.764706,16.470589,0,101,0.0,45,2,510.700012,394.899994,13.671,29.019608,0,12774,0,255,3/13/2025
1262,1700.75,49,19.607843,26.666666,86,2.34375,0.0,28,34.509804,49.803921,16.078432,31.764706,18.039215,0,101,0.0,43,21,527.5,408.5,13.75,41.568626,0,12769,0,255,3/13/2025
1067,1472.5,18,17.647058,46.666668,88,-0.78125,3.90625,49,27.843138,56.862743,26.666666,42.745098,23.921568,0,101,5.098039,45,19,466.0,367.299988,13.632,27.450981,0,12765,0,255,3/13/2025
780,1286.5,25,21.568628,51.372547,86,-0.78125,2.34375,54,35.294117,54.901962,24.313726,40.392159,21.568628,0,101,4.705883,44,17,459.700012,362.200012,13.71,80.392159,0,12761,0,255,3/13/2025
1121,1895.25,53,25.882353,69.019608,86,-0.78125,1.5625,70,34.509804,58.823528,26.274509,41.960785,25.490196,0,101,5.882353,43,19,550.700012,451.0,13.691,100.0,0,12766,0,255,3/13/2025
849,921.75,0,18.431372,37.254902,88,0.78125,0.0,38,38.039215,50.196079,16.078432,31.764706,18.431372,0,101,0.0,45,-3,525.299988,414.399994,13.554,29.019608,0,12762,0,255,3/13/2025
344,1487.5,21,21.960785,30.588236,88,0.78125,-1.5625,30,24.313726,54.901962,22.745098,38.431374,22.352942,0,100,4.313725,40,18,498.200012,351.700012,13.75,0.392157,0,12753,0,255,3/13/2025
18,777.25,4,19.215687,41.960785,53,-0.78125,0.0,44,40.784313,51.372547,16.078432,31.764706,19.215687,0,100,0.0,34,6,81.5,41.0,14.14,0.0,0,12748,0,255,3/13/2025
1639,1221.75,24,20.392157,43.92157,87,0.0,6.25,43,34.117645,52.156864,22.745098,38.823528,20.0,0,101,1.960784,46,17,481.900024,363.100006,13.652,0.0,0,12775,0,255,3/13/2025
114,1428.0,29,22.352942,54.901962,71,-1.5625,6.25,53,42.35294,55.686275,22.745098,38.431374,22.352942,0,100,3.529412,36,18,347.100006,88.399994,13.925,0.0,0,12749,0,255,3/13/2025
945,4000.0,48,23.529411,57.64706,30,-1.5625,2.34375,58,38.039215,57.254902,24.313726,40.392159,23.921568,0,103,6.27451,43,19,554.099976,432.299988,13.613,100.0,0,12763,0,255,3/13/2025
751,1859.25,38,20.0,27.058823,87,2.34375,5.46875,28,35.294117,52.156864,20.784313,36.470589,19.607843,0,101,1.176471,44,26,463.5,363.0,13.71,68.627449,0,12760,0,255,3/13/2025
320,967.75,11,19.215687,37.64706,87,0.78125,0.78125,37,35.294117,51.372547,16.078432,31.764706,19.215687,0,100,0.0,40,-2,498.599976,352.100006,13.632,0.0,0,12753,0,255,3/13/2025
1143,1826.5,53,20.392157,20.0,85,0.78125,0.0,24,37.254902,50.588234,16.078432,31.764706,18.431372,0,101,0.0,44,12,539.200012,454.200012,13.73,0.0,0,12767,0,255,3/13/2025
298,1384.25,30,19.215687,28.627451,87,0.78125,-3.125,29,32.941177,51.372547,16.078432,31.764706,19.215687,0,100,0.0,38,8,503.5,344.5,13.789,0.0,0,12752,0,255,3/13/2025
1793,1289.0,36,19.215687,32.941177,87,1.5625,0.78125,32,32.941177,52.549019,21.568628,37.64706,19.607843,0,101,2.745098,47,21,471.0,357.200012,13.671,0.0,0,12777,0,255,3/13/2025
1895,1457.75,31,17.254902,20.0,87,0.78125,2.34375,20,38.431374,49.803921,16.078432,31.764706,17.254902,0,101,2.352941,49,2,475.799988,364.5,13.652,0.0,0,12779,0,255,3/13/2025
1561,1221.75,27,17.254902,21.960785,86,0.78125,0.0,23,38.039215,49.019608,16.078432,31.764706,17.254902,0,101,0.0,44,6,531.400024,411.0,13.75,0.0,0,12774,0,255,3/13/2025
1560,1352.25,29,19.607843,23.921568,86,2.34375,0.0,29,36.862743,49.019608,16.078432,31.764706,17.254902,0,101,0.0,44,-4,531.400024,411.0,13.75,0.0,0,12774,0,255,3/13/2025
1679,707.0,0,16.078432,27.450981,88,0.78125,3.90625,28,33.333332,47.450981,16.078432,31.764706,16.078432,0,101,0.0,48,0,450.399994,348.700012,13.613,25.490196,0,12776,0,255,3/13/2025
1636,1254.5,28,18.039215,24.705883,88,0.78125,0.0,25,35.686275,49.019608,16.078432,31.764706,17.254902,0,101,0.0,46,4,492.0,365.799988,13.73,0.0,0,12775,0,255,3/13/2025
1996,695.25,0,16.078432,27.058823,88,0.78125,-5.46875,27,26.274509,51.372547,16.078432,31.764706,18.82353,0,101,0.0,51,7,490.700012,371.200012,12.734,21.17647,0,12781,0,255,3/13/2025
1147,1683.5,48,18.82353,23.529411,85,0.78125,0.0,24,40.392159,50.980392,16.078432,31.764706,18.82353,0,101,0.0,44,10,522.299988,447.799988,13.71,0.0,0,12767,0,255,3/13/2025
978,1786.5,52,19.215687,33.725491,85,0.78125,9.375,23,37.254902,52.941177,20.0,35.686275,20.392157,0,101,1.176471,45,12,521.900024,453.5,13.632,0.0,0,12764,0,255,3/13/2025
285,1007.0,6,18.431372,27.450981,86,0.78125,-3.125,26,37.254902,54.901962,26.274509,42.35294,21.960785,0,100,4.705883,38,2,500.700012,336.399994,13.789,0.0,0,12752,0,255,3/13/2025
2101,724.0,10,16.470589,29.803921,90,0.78125,2.34375,30,30.196079,47.843136,16.078432,31.764706,16.470589,0,101,0.0,53,7,477.200012,346.700012,13.281,29.803921,0,12783,0,255,3/13/2025
678,1825.0,37,19.607843,26.666666,86,2.34375,6.25,28,35.294117,52.156864,20.392157,36.470589,19.607843,0,101,1.176471,45,26,471.700012,366.299988,13.75,45.490196,0,12759,0,255,3/13/2025
2206,757.75,11,16.470589,40.392159,93,0.78125,-5.46875,35,34.509804,52.941177,24.313726,40.392159,20.784313,0,101,3.529412,56,-2,435.700012,310.799988,13.554,30.588236,0,12784,0,255,3/13/2025
63,1467.75,10,20.392157,35.686275,60,0.0,5.46875,35,39.607841,53.333332,20.392157,36.07843,20.784313,0,100,3.137255,35,24,199.5,48.0,13.984,0.0,0,12749,0,255,3/13/2025
2210,855.25,13,16.470589,25.09804,93,0.78125,3.125,25,31.764706,47.843136,16.078432,31.764706,16.470589,0,101,0.0,55,7,435.5,310.399994,13.457,29.019608,0,12784,0,255,3/13/2025
698,1139.0,26,18.431372,25.09804,85,0.78125,0.0,26,34.509804,50.196079,16.078432,31.764706,18.039215,0,101,0.0,45,2,461.5,362.0,13.632,0.0,0,12759,0,255,3/13/2025
1837,676.5,3,16.078432,28.235294,87,0.78125,1.5625,29,37.254902,47.450981,16.078432,31.764706,16.078432,0,101,0.0,50,1,432.600006,337.700012,13.554,26.274509,0,12778,0,255,3/13/2025
276,1334.25,29,19.215687,28.627451,86,0.78125,2.34375,28,35.686275,51.372547,16.078432,31.764706,19.215687,0,100,0.0,38,5,501.5,332.200012,13.847,0.0,0,12752,0,255,3/13/2025
702,1015.5,23,20.0,27.450981,85,0.0,7.8125,41,37.254902,52.156864,22.352942,38.039215,19.607843,0,101,2.352941,46,15,450.100006,358.100006,13.691,0.0,0,12759,0,255,3/13/2025
806,2034.25,47,18.82353,21.17647,86,0.78125,-3.90625,21,26.274509,59.607841,26.274509,42.35294,25.09804,0,101,7.45098,41,17,514.099976,388.299988,13.652,100.0,0,12761,0,255,3/13/2025
1915,1597.5,35,23.921568,23.921568,86,2.34375,4.6875,35,36.07843,51.372547,20.0,36.07843,19.215687,0,101,0.784314,48,-8,492.400024,389.399994,13.574,0.0,0,12780,0,255,3/13/2025
1286,1850.0,53,18.039215,28.627451,86,0.78125,3.90625,21,35.294117,54.117645,22.745098,38.431374,21.17647,0,101,3.137255,41,16,531.700012,402.899994,13.75,89.803925,0,12769,0,255,3/13/2025
1909,1940.5,41,18.431372,26.274509,86,0.78125,2.34375,22,40.784313,62.745098,28.627451,44.313725,27.058823,0,101,9.019608,48,16,492.700012,379.399994,13.671,0.0,0,12779,0,255,3/13/2025
1438,2024.0,42,20.392157,30.196079,86,1.5625,0.78125,30,34.117645,53.725491,21.960785,37.64706,20.784313,0,101,2.352941,42,29,525.700012,395.299988,13.75,66.274513,0,12772,0,255,3/13/2025
413,1546.75,30,21.960785,21.17647,88,0.78125,-6.25,24,34.509804,54.901962,21.568628,36.470589,18.82353,0,102,3.137255,41,10,514.099976,371.100006,13.691,15.294118,0,12754,0,255,3/13/2025
1328,1821.0,51,20.784313,33.333332,86,0.78125,0.78125,33,34.117645,53.333332,21.960785,38.039215,20.784313,0,101,2.745098,41,26,537.099976,397.200012,13.769,85.490196,0,12770,0,255,3/13/2025
1063,1375.0,7,20.784313,51.764706,89,-0.78125,7.8125,50,28.627451,50.980392,16.078432,31.764706,18.82353,0,101,0.0,46,17,463.5,368.0,13.378,98.431374,0,12765,0,255,3/13/2025
