ENGINE_RUN_TIME,ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,FUEL_AIR_COMMANDED_EQUIV_RATIO,ABSOLUTE_BAROMETRIC_PRESSURE,RELATIVE_THROTTLE_POSITION,INTAKE_AIR_TEMP,TIMING_ADVANCE,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,CONTROL_MODULE_VOLTAGE,COMMANDED_EVAPORATIVE_PURGE,TIME_RUN_WITH_MIL_ON,TIME_SINCE_TROUBLE_CODES_CLEARED,DISTANCE_TRAVELED_WITH_MIL_ON,WARM_UPS_SINCE_CODES_CLEARED,timestamp
1778,1463.25,30,22.352942,57.254902,89,-1.5625,0.78125,56,73.725487,55.686275,21.960785,38.039215,21.568628,0,100,3.529412,53,17,531.900024,401.200012,13.515,78.039215,0,1412,0,48,3/4/2025
2046,782.0,0,16.078432,27.058823,89,0.0,2.34375,28,70.196075,47.843136,16.078432,31.764706,16.078432,0,101,0.0,53,1,543.200012,433.200012,10.078824445677924,27.450981,0,1417,0,48,3/4/2025
2091,989.75,6,21.960785,71.372551,89,-3.90625,-0.78125,71,66.274513,50.196079,16.078432,31.764706,18.431372,0,101,0.0,53,10,510.099976,391.200012,9.802608508537395,93.333336,0,1417,0,48,3/4/2025
2002,1689.0,48,20.784313,38.431374,88,-0.78125,1.5625,39,63.92157,53.725491,21.17647,37.254902,20.784313,0,101,1.960784,50,23,595.099976,491.599976,13.574,85.490196,0,1416,0,48,3/4/2025
2002,1689.0,48,20.784313,38.431374,88,-0.78125,1.5625,39,63.92157,53.333332,20.784313,36.862743,20.784313,0,101,1.568627,50,23,594.599976,489.599976,13.574,85.490196,0,1416,0,48,3/4/2025
1824,1828.75,51,18.431372,19.215687,87,0.0,-3.125,20,68.235291,50.196079,16.078432,31.764706,18.431372,0,101,0.392157,53,3,584.5,452.600006,10.346311923948745,0.0,0,1413,0,48,3/4/2025
2084,866.25,0,18.82353,43.92157,89,0.0,-3.125,43,68.627449,50.980392,16.078432,31.764706,18.82353,0,101,0.0,53,-8,513.200012,396.399994,13.457,52.549019,0,1417,0,48,3/4/2025
961,1705.25,36,19.215687,23.921568,87,0.0,7.03125,23,80.0,51.372547,16.078432,31.764706,19.215687,0,100,0.0,55,3,544.400024,409.100006,13.535,0.0,0,1399,0,48,3/4/2025
2335,1267.0,28,18.039215,22.745098,87,0.0,0.0,24,70.980392,49.411766,16.078432,31.764706,17.254902,0,103,0.0,53,4,540.299988,417.100006,9.900182860924359,0.0,0,1421,0,48,3/4/2025
739,1328.0,29,18.039215,25.09804,87,0.0,0.0,24,70.980392,50.196079,16.078432,31.764706,18.431372,0,100,0.0,53,5,520.700012,379.0,13.613,0.0,0,1395,0,48,3/4/2025
538,795.25,0,18.82353,46.274509,88,0.0,-3.125,46,80.392159,50.980392,16.078432,31.764706,18.82353,0,100,0.0,51,-6,511.400024,380.799988,12.871,25.09804,0,1392,0,48,3/4/2025
723,1489.0,31,20.0,28.235294,86,1.5625,3.90625,32,74.509804,50.980392,16.078432,31.764706,18.82353,0,100,0.0,53,16,509.700012,370.399994,11.0,50.980392,0,1395,0,48,3/4/2025
1112,950.75,8,18.82353,39.215687,88,0.0,-1.5625,40,74.117645,50.980392,16.078432,31.764706,18.82353,0,100,0.0,56,-4,508.900024,381.600006,13.457,36.07843,0,1401,0,48,3/4/2025
390,973.25,13,16.078432,56.07843,88,-0.78125,0.78125,39,80.784317,47.843136,16.078432,31.764706,18.039215,0,100,0.0,48,15,491.900024,351.899994,13.554,18.039215,0,1389,0,48,3/4/2025
18,1275.75,11,19.215687,30.196079,58,1.5625,0.0,30,78.431374,55.294117,23.137255,39.215687,22.352942,0,100,3.137255,40,10,110.5,47.800003,14.062,0.0,0,1383,0,47,3/4/2025
2058,851.5,0,18.039215,36.862743,89,0.0,-2.34375,38,69.019608,50.196079,16.078432,31.764706,18.039215,0,101,0.0,53,1,532.099976,419.399994,13.496,43.92157,0,1417,0,48,3/4/2025
1913,1292.75,24,31.764706,92.549019,86,-3.90625,7.8125,94,72.549019,64.705879,30.196079,46.274509,30.196079,0,103,5.882353,55,8,530.700012,432.5,13.535,94.117645,0,1414,0,48,3/4/2025
1531,1424.0,40,19.215687,30.980392,86,1.5625,0.0,32,73.333336,51.764706,21.568628,37.64706,19.607843,0,102,0.784314,51,22,506.5,404.799988,13.652,67.84314,0,1408,0,48,3/4/2025
323,1128.0,23,19.215687,31.764706,87,0.78125,8.59375,33,81.568626,50.588234,21.17647,36.862743,18.82353,0,100,0.784314,46,19,523.200012,376.399994,13.73,0.0,0,1388,0,48,3/4/2025
1485,1697.5,48,21.960785,41.568626,87,-1.5625,2.34375,44,74.117645,54.901962,22.352942,38.431374,21.960785,0,102,2.745098,50,21,532.299988,413.200012,13.593,100.0,0,1407,0,48,3/4/2025
619,1662.5,35,20.0,36.862743,86,0.0,-1.5625,34,74.117645,51.372547,20.392157,36.470589,18.82353,0,100,0.0,51,24,537.0,394.299988,13.652,74.117645,0,1393,0,48,3/4/2025
2091,989.75,6,21.960785,71.372551,89,-3.90625,-0.78125,71,66.274513,50.588234,16.078432,31.764706,18.431372,0,101,0.0,53,10,510.099976,391.200012,13.144,93.333336,0,1417,0,48,3/4/2025
2504,1852.25,39,21.17647,34.901962,86,0.0,2.34375,37,65.490196,54.117645,21.960785,38.039215,21.17647,0,103,2.352941,55,24,548.5,404.200012,13.515,96.470589,0,1424,0,48,3/4/2025
1116,959.25,4,18.82353,38.823528,88,0.0,-1.5625,39,75.686272,50.980392,16.078432,31.764706,18.82353,0,100,0.0,56,-2,506.799988,379.600006,13.476,35.686275,0,1401,0,48,3/4/2025
1398,1585.75,45,18.82353,24.313726,86,0.0,0.78125,26,73.725487,51.372547,17.647058,31.764706,18.82353,0,102,0.392157,52,14,546.400024,413.100006,13.574,52.549019,0,1406,0,48,3/4/2025
