ENGINE_RUN_TIME,ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,FUEL_AIR_COMMANDED_EQUIV_RATIO,ABSOLUTE_BAROMETRIC_PRESSURE,RELATIVE_THROTTLE_POSITION,INTAKE_AIR_TEMP,TIMING_ADVANCE,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,CONTROL_MODULE_VOLTAGE,COMMANDED_EVAPORATIVE_PURGE,TIME_RUN_WITH_MIL_ON,TIME_SINCE_TROUBLE_CODES_CLEARED,DISTANCE_TRAVELED_WITH_MIL_ON,WARM_UPS_SINCE_CODES_CLEARED,timestamp
977,851.5,12,20.0,41.568626,132.12969886387882,-1.5625,-0.78125,44,52.156864,50.980392,16.078432,31.764706,18.82353,0,102,0.0,54,7,561.400024,428.299988,13.222,49.803921,0,8276,0,255,3/1/2025
481,996.0,12,19.607843,50.980392,87.0,-2.34375,4.6875,51,61.176472,51.764706,22.745098,38.823528,19.215687,0,102,2.745098,52,15,511.400024,378.100006,13.671,65.882355,0,8268,0,255,3/1/2025
1317,728.75,0,16.078432,27.843138,131.91686446085737,-1.5625,1.5625,29,56.07843,47.843136,16.078432,31.764706,16.078432,0,102,0.0,55,-4,478.700012,358.200012,13.652,29.411764,0,8282,0,255,3/1/2025
582,846.0,13,16.470589,24.705883,86.0,-1.5625,7.03125,26,61.960785,48.235294,16.078432,31.764706,16.470589,0,102,0.0,53,-3,461.600006,343.200012,13.71,0.0,0,8269,0,255,3/1/2025
1279,1054.5,17,21.17647,62.745098,126.82021025540212,-2.34375,-0.78125,62,54.509804,56.470589,27.058823,43.137257,22.352942,0,102,5.882353,53,8,496.5,371.0,13.632,100.0,0,8281,0,255,3/1/2025
1259,789.75,4,23.137255,38.039215,88.0,-2.34375,-2.34375,61,58.823528,47.843136,16.078432,31.764706,16.470589,0,102,0.0,55,3,494.099976,373.200012,13.593,93.333336,0,8281,0,255,3/1/2025
687,1128.0,18,22.352942,24.313726,86.0,0.0,-0.78125,47,57.254902,47.843136,16.078432,31.764706,16.078432,0,102,0.0,54,-9,449.600006,328.799988,13.71,25.490196,0,8271,0,255,3/1/2025
1201,1473.25,28,20.784313,47.450981,86.0,-2.34375,-0.78125,45,53.725491,52.941177,22.745098,38.431374,20.392157,0,102,2.352941,53,20,521.5,400.5,13.671,65.882355,0,8280,0,255,3/1/2025
854,840.5,0,18.82353,41.960785,89.0,-1.5625,-1.5625,42,53.725491,50.980392,16.078432,31.764706,18.82353,0,102,0.0,56,-5,426.100006,311.899994,13.554,52.941177,0,8274,0,255,3/1/2025
738,4000.0,10,18.431372,41.568626,30.0,-1.5625,0.78125,45,52.549019,47.450981,17.647058,34.117645,16.078432,0,102,3.137255,55,5,438.700012,320.0,13.671,58.431374,0,8272,0,255,3/1/2025
615,1103.75,24,16.470589,20.0,87.0,-1.5625,6.25,21,58.823528,47.843136,16.078432,31.764706,16.470589,0,102,0.0,53,9,453.200012,338.899994,13.691,31.372549,0,8270,0,255,3/1/2025
584,840.5,13,16.470589,25.09804,86.0,-1.5625,3.125,27,59.215687,48.235294,16.078432,31.764706,16.470589,0,102,0.0,53,0,460.5,342.899994,13.671,19.607843,0,8269,0,255,3/1/2025
693,1526.5,21,18.039215,28.235294,86.0,0.0,-0.78125,28,58.431374,52.156864,22.352942,38.039215,19.607843,0,102,3.529412,53,24,450.100006,329.200012,13.71,57.254902,0,8271,0,255,3/1/2025
959,1610.0,33,18.82353,22.352942,87.0,0.78125,4.6875,23,60.392159,50.980392,20.392157,36.07843,18.82353,0,102,1.176471,53,23,565.0,430.700012,13.652,26.274509,0,8276,0,255,3/1/2025
1008,1594.5,17,22.745098,54.117645,87.0,-1.5625,1.5625,56,32.941177,56.07843,23.921568,40.0,22.745098,0,102,3.529412,53,19,556.599976,426.200012,13.515,100.0,0,8276,0,255,3/1/2025
246,867.0,5,18.82353,40.392159,87.0,-1.5625,-1.5625,41,61.960785,51.372547,16.078432,31.764706,18.82353,0,102,0.0,50,-7,479.400024,327.299988,13.613,15.686275,0,8264,0,255,3/1/2025
1254,754.5,16,16.470589,26.274509,123.24657644098244,-1.5625,3.125,28,57.64706,47.843136,16.078432,31.764706,16.470589,0,102,0.0,54,2,496.200012,374.799988,13.671,17.647058,0,8280,0,255,3/1/2025
168,827.25,0,19.215687,39.215687,87.0,-1.5625,1.5625,41,58.431374,50.980392,16.078432,31.764706,18.82353,0,100,0.0,50,7,451.299988,205.0,13.671,12.941176,0,8262,0,255,3/1/2025
1274,689.0,10,21.568628,34.509804,88.0,-0.78125,2.34375,42,63.529411,47.843136,16.078432,31.764706,16.470589,0,102,0.0,54,1,496.0,371.399994,13.632,21.17647,0,8281,0,255,3/1/2025
1198,1787.5,25,21.17647,34.901962,124.66178836262691,-0.78125,3.90625,36,49.411766,54.117645,23.921568,40.0,21.17647,0,102,3.921569,53,26,520.0,402.399994,13.671,96.862747,0,8280,0,255,3/1/2025
836,759.25,19,16.078432,24.705883,89.0,-1.5625,4.6875,26,56.07843,47.843136,16.078432,31.764706,16.078432,0,102,0.0,56,0,431.600006,315.799988,13.691,23.529411,0,8273,0,255,3/1/2025
291,1464.0,28,22.352942,56.862743,126.79033125561266,-1.5625,3.90625,56,80.392159,56.862743,24.313726,40.392159,23.137255,0,102,6.666667,48,18,480.099976,333.799988,13.632,81.960785,0,8264,0,255,3/1/2025
590,782.75,11,21.17647,45.098038,125.15465707899479,-1.5625,-0.78125,63,62.35294,52.549019,24.313726,40.392159,20.0,0,102,3.529412,53,-2,455.600006,340.700012,13.671,60.392159,0,8269,0,255,3/1/2025
687,856.25,21,16.078432,23.137255,87.0,-1.5625,2.34375,24,59.607841,47.843136,16.078432,31.764706,16.470589,0,102,0.0,54,6,450.700012,329.200012,13.691,0.0,0,8271,0,255,3/1/2025
783,1015.5,15,16.470589,20.0,88.0,-1.5625,0.78125,21,47.450981,47.843136,16.078432,31.764706,16.470589,0,102,0.0,55,7,428.200012,315.100006,13.71,26.274509,0,8273,0,255,3/1/2025
512,799.0,3,18.431372,27.058823,88.0,-1.5625,0.78125,43,60.784313,47.843136,16.078432,31.764706,16.078432,0,102,0.0,53,-8,496.599976,362.799988,13.554,51.372547,0,8268,0,255,3/1/2025
2,1128.0,0,19.215687,30.588236,81.0,0.0,0.0,32,60.392159,51.372547,16.078432,31.764706,19.215687,0,100,0.0,46,2,64.099998,63.300003,11.894,0.0,0,8260,0,255,3/1/2025
383,1545.25,20,20.784313,43.137257,88.0,-1.5625,-0.78125,43,55.686275,53.725491,21.960785,37.64706,20.784313,0,102,1.960784,50,21,510.5,379.700012,13.632,79.215683,0,8266,0,255,3/1/2025
888,1751.5,37,21.568628,41.960785,83.0,-1.5625,2.34375,44,44.313725,50.980392,16.078432,31.764706,18.82353,0,102,0.0,55,23,512.599976,371.399994,13.574,70.980392,0,8274,0,255,3/1/2025
722,1335.75,11,16.470589,19.215687,87.0,-1.5625,5.46875,20,54.117645,49.019608,16.078432,31.764706,17.254902,0,102,0.0,54,11,440.700012,323.600006,13.71,65.882355,0,8272,0,255,3/1/2025
400,1897.5,39,20.0,27.450981,86.0,0.0,0.78125,28,60.392159,54.509804,23.137255,39.215687,22.352942,0,102,2.745098,50,28,533.299988,395.200012,13.613,73.725487,0,8266,0,255,3/1/2025
