ENGINE_RUN_TIME,ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,FUEL_AIR_COMMANDED_EQUIV_RATIO,ABSOLUTE_BAROMETRIC_PRESSURE,RELATIVE_THROTTLE_POSITION,INTAKE_AIR_TEMP,TIMING_ADVANCE,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,CONTROL_MODULE_VOLTAGE,COMMANDED_EVAPORATIVE_PURGE,TIME_RUN_WITH_MIL_ON,TIME_SINCE_TROUBLE_CODES_CLEARED,DISTANCE_TRAVELED_WITH_MIL_ON,WARM_UPS_SINCE_CODES_CLEARED,timestamp
359,1622.5,43,32.941177,96.862747,86,-4.6875,-5.46875,97,63.137257,50.980392,16.078432,31.764706,18.82353,0,102,0.0,46,2,554.299988,415.100006,13.691,12.941176,0,10241,0,255,3/10/2025
1955,2067.0,58,23.921568,52.549019,86,-3.125,0.0,54,61.176472,57.254902,24.705883,40.784313,23.921568,0,102,7.45098,41,22,617.799988,499.900024,13.652,100.0,0,10267,0,255,3/10/2025
805,1826.5,50,22.745098,47.843136,88,-1.5625,2.34375,50,63.529411,55.294117,23.529411,39.607841,22.352942,0,102,2.745098,45,22,574.099976,440.5,13.652,74.117645,0,10248,0,255,3/10/2025
441,1980.25,56,22.745098,42.745098,86,-1.5625,0.78125,45,64.313728,55.686275,23.137255,39.215687,22.745098,0,102,3.529412,45,24,596.799988,458.0,13.652,82.745094,0,10242,0,255,3/10/2025
792,1496.0,16,28.627451,88.235291,89,-4.6875,1.5625,90,62.745098,50.980392,19.215687,38.431374,20.0,0,103,0.0,46,2,512.200012,402.899994,13.613,32.549019,0,10248,0,255,3/10/2025
164,1427.25,29,9.933799046923081,69.803925,86,-4.6875,-3.125,73,61.960785,57.64706,62.64560626426346,38.431374,22.352942,0,102,5.490196,48,7,493.299988,242.799988,13.886,0.784314,0,10237,0,255,3/10/2025
998,1727.25,49,21.960785,45.490196,87,-1.5625,0.0,46,53.333332,54.509804,23.529411,39.215687,21.17647,0,102,3.529412,48,22,574.900024,433.200012,13.652,79.607841,0,10251,0,255,3/10/2025
1358,2094.5,59,23.137255,45.882355,87,-1.5625,-3.90625,46,62.745098,55.686275,23.529411,39.215687,22.352942,0,102,3.921569,48,24,616.200012,475.099976,13.574,96.470589,0,10257,0,255,3/10/2025
403,1646.75,48,21.17647,38.039215,87,-0.78125,2.34375,39,60.784313,54.509804,21.960785,37.64706,21.17647,0,102,2.352941,46,24,591.900024,455.899994,13.671,21.568628,0,10241,0,255,3/10/2025
364,1528.0,44,18.82353,23.529411,87,-1.5625,4.6875,25,61.176472,50.980392,16.078432,31.764706,18.82353,0,102,0.0,46,8,556.5,416.700012,13.671,0.0,0,10241,0,255,3/10/2025
368,919.5,36,18.82353,36.470589,87,-1.5625,-0.78125,39,68.627449,50.980392,16.078432,31.764706,18.82353,0,102,0.0,47,0,556.799988,417.399994,13.457,0.0,0,10241,0,255,3/10/2025
987,1610.75,45,20.784313,34.901962,87,0.0,-0.78125,37,57.64706,56.862743,23.921568,40.0,23.529411,0,102,4.705883,48,24,570.400024,430.899994,13.574,46.666668,0,10251,0,255,3/10/2025
1401,2017.75,55,26.666666,72.941177,87,-4.6875,2.34375,72,56.470589,61.176472,27.843138,43.92157,27.843138,0,102,9.411765,48,12,577.299988,459.899994,13.574,100.0,0,10258,0,255,3/10/2025
68,1182.75,9,19.215687,32.941177,80,0.0,-0.78125,36,63.92157,52.941177,20.392157,36.470589,20.0,0,101,1.568627,48,19,261.700012,73.199997,13.906,0.0,0,10236,0,255,3/10/2025
126,1342.75,38,21.17647,44.705883,86,-1.5625,-3.125,45,61.176472,54.117645,21.568628,37.64706,21.17647,0,102,2.352941,47,19,464.200012,173.199997,13.964,2.352941,0,10237,0,255,3/10/2025
950,976.5,21,24.705883,27.058823,89,0.0,-1.5625,53,53.725491,56.862743,23.137255,38.823528,21.568628,0,102,4.705883,46,-9,559.299988,427.700012,13.535,27.058823,0,10250,0,255,3/10/2025
1926,990.5,77,18.82353,34.117645,86,-1.5625,7.03125,35,64.313728,50.980392,16.078432,31.764706,18.82353,0,102,0.0,43,0,624.599976,525.0,13.632,0.0,0,10267,0,255,3/10/2025
137,1367.0,38,18.82353,25.490196,87,-1.5625,0.78125,27,63.529411,53.333332,20.784313,36.470589,20.784313,0,102,1.568627,46,15,479.200012,198.399994,13.906,0.0,0,10237,0,255,3/10/2025
1485,2207.0,61,21.960785,34.117645,87,0.0,3.125,36,57.254902,54.509804,22.352942,38.039215,21.568628,0,102,2.745098,47,29,614.900024,481.900024,13.613,76.470589,0,10259,0,255,3/10/2025
12,840.5,0,18.82353,38.823528,69,-0.78125,0.0,38,68.235291,51.372547,16.078432,31.764706,18.82353,0,101,0.0,49,-4,77.5,59.0,14.003,0.0,0,10235,0,255,3/10/2025
2120,1223.25,18,16.470589,21.17647,88,-1.5625,-6.25,22,56.470589,48.235294,16.078432,31.764706,16.470589,0,102,0.0,43,15,577.200012,450.200012,13.789,23.529411,0,10270,0,255,3/10/2025
1136,1239.75,25,7.729842997384729,44.705883,86,-1.5625,-6.25,37,52.549019,58.431374,64.43510208927657,41.960785,24.705883,0,102,5.490196,49,11,574.5,448.100006,13.574,0.0,0,10253,0,255,3/10/2025
346,1622.5,46,18.82353,35.294117,87,-1.5625,2.34375,27,61.960785,54.901962,21.960785,38.039215,21.568628,0,102,2.745098,46,24,551.200012,412.0,13.691,19.607843,0,10240,0,255,3/10/2025
857,2124.0,62,9.368316881535998,25.490196,87,-1.5625,1.5625,20,62.745098,56.07843,58.91250430682666,40.0,22.745098,0,102,3.921569,45,19,625.299988,495.099976,13.71,0.0,0,10249,0,255,3/10/2025
1447,1595.25,45,21.568628,41.176472,86,-0.78125,6.25,44,76.862747,54.117645,22.352942,38.431374,21.17647,0,102,2.745098,50,21,562.900024,457.600006,13.554,95.686272,0,10259,0,255,3/10/2025
532,1799.0,39,21.17647,32.549019,89,0.0,-2.34375,36,60.784313,54.117645,21.568628,37.64706,21.17647,0,102,2.352941,44,26,568.599976,439.299988,13.671,15.294118,0,10243,0,255,3/10/2025
779,707.0,0,16.078432,24.705883,89,-1.5625,-3.90625,28,61.960785,47.843136,16.078432,31.764706,16.078432,0,103,0.0,47,8,510.200012,410.100006,13.339,13.725491,0,10248,0,255,3/10/2025
24,667.0,0,18.82353,49.803921,72,-1.5625,0.0,48,68.235291,50.980392,16.078432,31.764706,18.82353,0,101,0.0,48,7,121.100006,59.599998,13.964,0.0,0,10235,0,255,3/10/2025
1225,1746.75,49,22.352942,48.235294,88,-1.5625,-2.34375,49,62.35294,56.470589,23.529411,39.607841,23.137255,0,102,4.313725,50,21,561.900024,435.299988,13.535,0.0,0,10255,0,255,3/10/2025
1203,1179.5,24,19.607843,56.07843,87,-4.6875,-2.34375,50,39.215687,52.941177,23.137255,39.215687,20.392157,0,102,1.960784,51,13,532.5,421.899994,13.574,50.980392,0,10255,0,255,3/10/2025
2045,2101.5,72,24.313726,19.215687,86,1.5625,0.0,47,61.176472,56.470589,23.921568,39.607841,23.529411,0,102,4.705883,42,-5,668.0,548.099976,13.613,0.0,0,10269,0,255,3/10/2025
639,1848.25,52,8.512792295094636,35.294117,86,0.0,7.03125,36,62.745098,54.901962,63.9450654664103,38.039215,21.568628,0,102,2.745098,45,26,615.599976,493.5,13.652,23.529411,0,10245,0,255,3/10/2025
255,1504.5,42,21.568628,43.529411,87,-1.5625,1.5625,46,64.313728,54.509804,21.960785,38.039215,21.568628,0,102,2.745098,46,20,549.200012,387.700012,13.73,12.156863,0,10239,0,255,3/10/2025
978,1606.25,44,5.89269924665455,37.254902,86,-0.78125,0.78125,65,62.35294,50.980392,59.10392747800071,34.901962,20.0,0,102,0.0,47,14,570.799988,431.100006,13.593,0.0,0,10251,0,255,3/10/2025
57,988.25,7,5.573405089359605,34.117645,79,-1.5625,3.125,33,65.098038,50.980392,68.74577100411528,31.764706,18.82353,0,101,0.0,48,1,234.5,68.300003,13.945,0.0,0,10235,0,255,3/10/2025
1982,2251.5,64,9.22339900254503,45.098038,87,-1.5625,0.78125,49,63.137257,57.254902,58.917716105796956,40.784313,23.921568,0,102,5.490196,41,24,644.099976,513.0,13.652,100.0,0,10268,0,255,3/10/2025
381,2108.5,43,18.431372,79.215683,89,-4.6875,1.5625,80,67.450981,62.35294,28.627451,44.705883,27.843138,0,102,9.411765,45,15,571.799988,427.299988,13.71,13.333333,0,10241,0,255,3/10/2025
961,1499.0,30,6.005173046082213,59.607841,89,-5.46875,2.34375,60,59.215687,54.901962,66.70333482525504,38.823528,21.960785,0,102,3.137255,46,16,563.200012,427.5,13.593,29.803921,0,10251,0,255,3/10/2025
254,1497.5,43,20.392157,32.549019,87,0.78125,3.90625,35,61.960785,54.509804,21.960785,38.039215,20.0,0,102,2.745098,46,24,549.200012,387.700012,13.73,10.196078,0,10239,0,255,3/10/2025
945,596.75,0,18.431372,54.509804,89,-1.5625,-1.5625,56,58.823528,61.176472,30.196079,45.882355,27.058823,0,102,7.45098,48,7,557.599976,429.899994,13.632,0.0,0,10250,0,255,3/10/2025
1090,1616.25,35,18.82353,21.568628,88,-1.5625,3.90625,22,56.862743,50.588234,16.078432,31.764706,18.431372,0,102,0.0,48,4,560.5,453.5,13.574,45.882355,0,10253,0,255,3/10/2025
738,1651.5,45,21.17647,34.509804,86,-0.78125,4.6875,37,58.431374,50.980392,16.078432,31.764706,18.82353,0,103,0.0,44,15,549.700012,458.0,13.671,0.0,0,10247,0,255,3/10/2025
1274,1427.25,39,29.803921,90.588234,88,-4.6875,-3.90625,93,60.392159,55.294117,16.078432,31.764706,18.431372,0,102,5.098039,50,-1,581.799988,450.399994,13.535,76.862747,0,10256,0,255,3/10/2025
1047,1652.25,47,23.921568,60.784313,87,-5.46875,4.6875,64,63.137257,54.509804,23.921568,39.607841,22.352942,0,102,2.745098,48,15,553.5,428.799988,13.671,92.941177,0,10252,0,255,3/10/2025
1705,1975.0,68,23.921568,54.901962,88,-4.6875,3.125,57,59.607841,57.254902,24.313726,40.392159,23.921568,0,102,4.705883,42,21,669.700012,544.200012,13.613,100.0,0,10263,0,255,3/10/2025
545,1893.75,39,7.016068888087056,35.294117,86,0.0,-1.5625,35,64.313728,54.901962,64.36720037954521,38.431374,21.568628,0,102,2.745098,45,27,573.700012,442.299988,13.554,54.509804,0,10244,0,255,3/10/2025
1065,921.75,43,18.82353,36.07843,87,-1.5625,1.5625,37,65.490196,50.980392,16.078432,31.764706,18.82353,0,102,0.0,48,0,563.799988,456.600006,13.398,0.0,0,10252,0,255,3/10/2025
17,864.75,0,18.82353,37.64706,71,-0.78125,0.0,37,68.235291,50.980392,16.078432,31.764706,18.82353,0,101,0.0,48,-1,94.899994,59.199997,14.003,0.0,0,10235,0,255,3/10/2025
103,1687.5,32,23.529411,57.64706,87,-5.46875,4.6875,60,59.215687,56.862743,24.313726,40.0,23.529411,0,102,4.705883,46,19,381.600006,112.800003,13.945,0.0,0,10236,0,255,3/10/2025
2085,1970.25,67,21.960785,35.686275,86,0.0,3.90625,37,61.960785,55.294117,22.745098,38.823528,22.352942,0,102,3.529412,42,26,620.599976,493.900024,13.652,100.0,0,10269,0,255,3/10/2025
1041,1914.0,54,21.568628,40.392159,87,-0.78125,-1.5625,40,66.274513,56.07843,23.529411,39.607841,22.745098,0,102,4.313725,47,26,549.099976,424.899994,13.593,73.333336,0,10252,0,255,3/10/2025
1341,6000.0,55,22.745098,100.0,86,-0.78125,-1.5625,42,70.196075,53.333332,21.960785,38.039215,20.784313,0,102,2.352941,50,25,606.400024,467.100006,13.613,52.941177,0,10257,0,255,3/10/2025
1290,1703.0,48,21.17647,35.686275,88,-0.78125,-1.5625,38,59.215687,53.725491,22.352942,38.431374,21.17647,0,102,3.137255,51,24,598.900024,465.799988,13.632,0.0,0,10256,0,255,3/10/2025
901,1867.75,54,9.229104192192075,37.254902,86,-0.78125,7.03125,38,59.607841,54.117645,59.47189854212436,38.039215,21.568628,0,102,2.745098,45,26,614.299988,479.799988,13.652,100.0,0,10250,0,255,3/10/2025
669,1689.75,47,20.784313,34.901962,86,0.0,3.90625,34,60.392159,53.333332,22.745098,38.431374,20.784313,0,102,1.960784,45,25,594.599976,471.700012,13.71,66.666664,0,10246,0,255,3/10/2025
1341,1983.5,56,20.784313,29.803921,86,1.5625,1.5625,31,70.196075,53.333332,21.960785,38.039215,20.784313,0,102,2.352941,50,29,850.0,467.100006,13.613,52.941177,0,10257,0,255,3/10/2025
308,1626.5,45,21.17647,22.745098,86,-0.78125,0.78125,39,63.137257,52.549019,18.431372,32.549019,18.82353,0,102,2.745098,46,23,557.299988,415.0,13.691,14.90196,0,10240,0,255,3/10/2025
1408,2003.75,57,22.352942,40.392159,87,-0.78125,2.34375,42,56.470589,56.07843,23.529411,39.607841,22.745098,0,102,4.313725,48,26,597.299988,471.899994,13.574,42.35294,0,10258,0,255,3/10/2025
1681,1974.0,67,23.529411,50.980392,88,-2.34375,3.125,52,63.529411,56.862743,23.921568,40.0,23.529411,0,102,4.705883,42,22,692.400024,568.5,13.593,100.0,0,10263,0,255,3/10/2025
252,1497.5,43,20.392157,32.549019,87,0.78125,3.90625,35,63.92157,52.549019,21.960785,38.039215,20.0,0,102,1.176471,46,24,548.599976,386.399994,13.789,8.235294,0,10239,0,255,3/10/2025
1737,1988.25,68,22.352942,42.35294,86,-0.78125,-2.34375,43,63.92157,55.294117,23.529411,39.215687,22.352942,0,102,3.137255,43,25,632.299988,515.099976,13.652,34.901962,0,10264,0,255,3/10/2025
204,1736.5,49,21.960785,39.215687,87,-0.78125,3.125,41,61.176472,54.901962,22.352942,38.039215,21.960785,0,102,4.313725,46,24,543.299988,350.700012,13.769,4.705883,0,10238,0,255,3/10/2025
28,995.25,7,7.827708431864107,32.549019,73,0.78125,0.0,32,64.313728,50.980392,57.96433040819065,31.764706,18.82353,0,101,0.0,48,4,132.600006,60.0,13.75,0.0,0,10235,0,255,3/10/2025
825,2067.0,58,7.058218719241175,52.156864,87,-3.125,-1.5625,54,65.098038,57.254902,62.45063406836016,40.392159,23.921568,0,102,4.705883,45,22,609.400024,475.5,13.593,99.215683,0,10248,0,255,3/10/2025
830,2139.0,62,8.951899022832349,41.960785,87,-0.78125,3.90625,43,68.627449,56.470589,65.51925432739486,40.0,23.137255,0,102,4.313725,45,26,616.299988,481.799988,13.613,100.0,0,10248,0,255,3/10/2025
827,2099.0,58,23.529411,50.980392,87,-2.34375,2.34375,50,67.058823,56.862743,24.313726,40.392159,23.921568,0,102,4.313725,45,23,613.0,478.700012,13.613,100.0,0,10248,0,255,3/10/2025
612,1978.0,55,21.960785,40.0,87,-0.78125,0.0,41,65.490196,54.901962,22.745098,38.823528,21.960785,0,102,3.529412,45,25,630.599976,496.599976,13.652,85.098038,0,10245,0,255,3/10/2025
1459,1651.5,45,24.313726,63.529411,87,-4.6875,2.34375,67,43.92157,58.039215,25.09804,41.176472,24.705883,0,102,5.882353,48,12,560.799988,450.899994,13.574,100.0,0,10259,0,255,3/10/2025
1697,1910.75,64,26.274509,68.235291,88,-4.6875,0.78125,69,58.823528,59.607841,25.490196,41.568626,25.490196,0,102,6.666667,42,12,672.400024,549.799988,13.613,100.0,0,10263,0,255,3/10/2025
1663,2075.0,70,30.980392,83.92157,89,-4.6875,1.5625,84,60.392159,65.882355,29.411764,45.490196,30.588236,0,102,11.764706,41,10,850.0,553.599976,13.691,100.0,0,10262,0,255,3/10/2025
1025,1674.0,48,9.276014415811332,37.64706,86,-0.78125,3.90625,39,60.784313,53.333332,67.4712337559312,38.431374,20.392157,0,102,2.745098,49,24,544.900024,427.600006,13.652,90.196075,0,10252,0,255,3/10/2025
1038,1847.5,51,23.921568,56.07843,87,-4.6875,1.5625,57,61.176472,57.64706,25.09804,40.784313,24.313726,0,102,5.490196,48,19,542.400024,422.0,13.515,100.0,0,10252,0,255,3/10/2025
552,1872.5,39,7.987650561963461,36.862743,87,0.0,2.34375,34,58.823528,54.509804,56.88381362733247,38.431374,21.568628,0,102,2.745098,45,27,573.799988,441.100006,13.652,56.07843,0,10244,0,255,3/10/2025
550,1891.25,39,20.784313,32.549019,87,0.78125,3.125,33,62.35294,53.725491,21.568628,37.254902,21.17647,0,102,1.960784,45,28,573.900024,441.5,13.652,54.509804,0,10244,0,255,3/10/2025
1650,1995.25,69,10.0,58.039215,89,-5.46875,1.5625,60,62.745098,58.039215,60.0,40.784313,24.705883,0,102,5.490196,41,20,670.200012,533.099976,13.652,100.0,0,10262,0,255,3/10/2025
150,1350.75,38,18.82353,25.09804,86,-1.5625,0.0,26,64.313728,50.588234,16.078432,31.764706,18.82353,0,102,0.0,47,11,488.5,219.0,13.906,5.098039,0,10237,0,255,3/10/2025
652,1884.25,53,21.960785,40.0,86,-0.78125,0.78125,41,64.705879,54.901962,22.352942,38.431374,21.960785,0,102,3.921569,45,25,603.5,483.099976,13.652,53.333332,0,10245,0,255,3/10/2025
638,1867.75,53,6.431856439705257,35.294117,86,0.0,10.15625,36,59.607841,54.509804,59.42722158867173,37.64706,21.568628,0,102,1.960784,45,26,623.200012,495.900024,13.671,0.0,0,10245,0,255,3/10/2025
1352,2123.25,60,23.137255,46.666668,87,-1.5625,0.0,47,64.313728,56.470589,23.921568,40.0,23.529411,0,102,5.098039,48,24,610.599976,470.200012,13.574,100.0,0,10257,0,255,3/10/2025
303,1665.5,47,20.392157,30.588236,86,0.78125,2.34375,33,63.92157,52.549019,21.568628,37.64706,20.0,0,102,1.176471,46,26,560.299988,416.399994,13.789,17.254902,0,10240,0,255,3/10/2025
994,1673.25,48,21.960785,44.705883,87,-1.5625,3.125,47,49.019608,53.725491,23.529411,39.215687,22.352942,0,102,2.352941,48,22,572.799988,431.899994,13.671,0.0,0,10251,0,255,3/10/2025
1516,2253.0,76,18.82353,80.0,88,-4.6875,-0.78125,77,60.784313,50.588234,16.078432,31.764706,18.431372,0,102,0.0,44,14,637.799988,507.5,13.671,0.0,0,10260,0,255,3/10/2025
765,898.25,0,18.431372,34.117645,89,-1.5625,-0.78125,36,61.960785,50.588234,16.078432,31.764706,18.431372,0,103,0.0,46,1,520.299988,427.299988,13.593,0.0,0,10247,0,255,3/10/2025
372,917.0,23,5.592278207938945,36.862743,88,-1.5625,-0.78125,38,61.176472,50.980392,63.117226033407384,31.764706,18.82353,0,102,0.0,48,1,554.299988,416.200012,13.535,0.0,0,10241,0,255,3/10/2025
1310,1857.0,52,20.784313,33.725491,87,0.0,3.125,34,52.156864,53.725491,22.352942,38.431374,20.784313,0,102,1.960784,51,27,597.0,462.5,13.613,68.627449,0,10256,0,255,3/10/2025
905,1867.0,52,21.17647,36.470589,86,-0.78125,2.34375,38,62.745098,54.117645,21.960785,38.039215,21.17647,0,102,2.352941,45,26,613.200012,478.400024,13.652,83.137253,0,10250,0,255,3/10/2025
154,1285.75,38,21.17647,49.411766,86,-1.5625,0.0,50,59.607841,53.333332,20.784313,36.862743,20.784313,0,102,1.960784,47,18,491.299988,227.100006,13.906,0.0,0,10237,0,255,3/10/2025
968,1882.0,39,20.784313,31.372549,87,0.78125,2.34375,32,59.215687,53.333332,21.568628,37.254902,19.607843,0,102,1.568627,47,28,569.200012,430.5,13.652,45.882355,0,10251,0,255,3/10/2025
1574,2332.75,79,27.843138,67.84314,86,-4.6875,2.34375,70,56.470589,60.784313,26.274509,42.35294,26.666666,0,102,7.843137,43,16,637.200012,531.299988,13.613,100.0,0,10261,0,255,3/10/2025
1868,2350.75,80,25.882353,58.431374,87,-5.46875,1.5625,60,59.607841,59.607841,25.882353,41.960785,25.882353,0,102,6.666667,41,20,574.5,460.799988,13.73,100.0,0,10266,0,255,3/10/2025
372,917.0,23,18.82353,36.862743,88,-1.5625,-0.78125,38,66.666664,50.980392,16.078432,31.764706,18.82353,0,102,0.0,48,1,555.599976,416.600006,13.632,0.0,0,10241,0,255,3/10/2025
1817,2307.0,80,21.960785,33.725491,86,0.78125,3.125,35,61.960785,54.901962,22.745098,38.431374,21.960785,0,101,2.745098,44,30,537.400024,440.5,13.71,95.294121,0,10265,0,255,3/10/2025
306,1625.75,46,21.17647,38.823528,86,-0.78125,1.5625,39,59.607841,54.117645,21.17647,37.254902,20.0,0,102,3.137255,46,23,558.0,415.399994,13.691,14.509804,0,10240,0,255,3/10/2025
312,1564.0,45,20.784313,35.294117,86,0.0,0.0,37,61.960785,53.725491,21.17647,36.862743,20.784313,0,102,1.960784,46,24,556.200012,414.100006,13.691,13.333333,0,10240,0,255,3/10/2025
1672,2119.5,74,23.921568,51.372547,89,-2.34375,-0.78125,54,61.176472,57.64706,24.313726,40.392159,24.313726,0,102,5.098039,41,22,698.799988,569.0,13.652,92.15686,0,10262,0,255,3/10/2025
1734,1921.75,64,23.529411,50.588234,86,-2.34375,-1.5625,52,65.882355,56.07843,23.529411,39.607841,23.529411,0,102,3.921569,43,22,633.200012,518.799988,13.613,100.0,0,10263,0,255,3/10/2025
819,1988.25,55,24.313726,55.686275,87,-4.6875,5.46875,57,61.960785,58.431374,25.09804,41.176472,24.313726,0,102,5.490196,45,21,601.0,467.799988,13.613,100.0,0,10248,0,255,3/10/2025
2065,2228.0,77,21.568628,32.941177,86,0.78125,2.34375,34,61.960785,54.509804,22.352942,38.431374,21.568628,0,102,3.137255,41,29,645.099976,525.900024,13.71,100.0,0,10269,0,255,3/10/2025
1888,2053.0,71,9.678651703054696,69.411766,88,-4.6875,3.125,70,60.392159,61.176472,68.38883000529817,42.745098,27.058823,0,102,7.843137,41,14,639.0,515.0,13.73,100.0,0,10266,0,255,3/10/2025
437,1953.75,55,22.745098,41.568626,86,-0.78125,-4.6875,43,61.960785,55.686275,23.137255,39.215687,21.960785,0,102,3.529412,45,24,595.099976,456.899994,13.652,63.137257,0,10242,0,255,3/10/2025
1636,1982.75,69,25.882353,68.627449,88,-4.6875,0.78125,68,68.235291,60.392159,26.274509,42.35294,26.274509,0,102,7.45098,41,13,648.599976,513.099976,13.652,100.0,0,10262,0,255,3/10/2025
