ENGINE_RUN_TIME,ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,FUEL_AIR_COMMANDED_EQUIV_RATIO,ABSOLUTE_BAROMETRIC_PRESSURE,RELATIVE_THROTTLE_POSITION,INTAKE_AIR_TEMP,TIMING_ADVANCE,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,CONTROL_MODULE_VOLTAGE,COMMANDED_EVAPORATIVE_PURGE,TIME_RUN_WITH_MIL_ON,TIME_SINCE_TROUBLE_CODES_CLEARED,DISTANCE_TRAVELED_WITH_MIL_ON,WARM_UPS_SINCE_CODES_CLEARED,timestamp
232,1554.5,33,19.215687,34.901962,79,-2.34375,-2.34375,31.0,38.039215,50.980392,20.392157,36.470589,18.82353,0,100,0.0,32,25,548.0,385.100006,13.945,0.0,0,9131,0,255,3/7/2025
614,906.25,15,18.431372,36.470589,88,-2.34375,2.34375,37.0,36.862743,50.588234,16.078432,31.764706,16.470589,0,101,0.0,44,0,519.0,405.399994,13.593,27.450981,0,9138,0,255,3/7/2025
929,1831.25,52,20.784313,32.941177,85,0.78125,0.78125,35.0,36.07843,53.333332,21.960785,37.64706,20.784313,0,102,1.568627,45,27,552.599976,456.200012,13.632,80.392159,0,9143,0,255,3/7/2025
524,1539.75,44,21.17647,41.960785,86,-0.78125,0.0,41.0,36.862743,52.549019,20.392157,38.039215,21.17647,0,101,1.176471,41,21,550.5,407.600006,13.671,54.509804,0,9136,0,255,3/7/2025
1656,700.75,36,16.470589,28.627451,87,-2.34375,10.15625,30.0,32.941177,47.843136,16.078432,31.764706,16.470589,0,102,0.0,48,0,526.400024,394.399994,13.32,0.0,0,9155,0,255,3/7/2025
1828,1502.25,35,18.039215,21.568628,87,34.465238693424226,0.0,68.3586326537598,30.196079,49.411766,16.078432,31.764706,17.647058,0,102,0.0,50,7,525.700012,393.200012,13.652,0.0,0,9158,0,255,3/7/2025
392,1394.5,40,21.17647,45.490196,87,-0.78125,-2.34375,45.0,38.431374,54.117645,21.568628,37.64706,21.568628,0,100,1.960784,38,19,574.400024,436.0,13.73,15.686275,0,9134,0,255,3/7/2025
902,1726.5,51,23.921568,49.803921,86,0.0,-6.25,56.0,33.333332,55.686275,23.921568,39.607841,22.352942,0,102,3.529412,45,20,576.0,448.399994,13.613,100.0,0,9143,0,255,3/7/2025
1542,1447.5,42,19.607843,31.764706,86,0.78125,3.90625,33.0,30.980392,52.156864,20.392157,36.07843,19.607843,0,102,0.784314,49,23,531.5,397.700012,13.593,72.15686,0,9153,0,255,3/7/2025
1419,1257.0,17,20.392157,40.784313,89,-0.78125,0.0,42.0,29.411764,51.372547,21.17647,37.254902,20.392157,0,102,0.0,49,17,505.099976,404.899994,13.554,34.901962,0,9151,0,255,3/7/2025
439,1353.75,39,19.215687,27.843138,87,1.5625,1.5625,28.0,28.627451,51.372547,21.17647,37.254902,19.215687,0,101,2.352941,39,22,568.5,427.700012,13.808,16.862745,0,9135,0,255,3/7/2025
886,1842.75,52,21.960785,39.607841,86,-0.78125,-2.34375,41.0,34.509804,54.901962,22.745098,38.823528,21.960785,0,102,2.745098,46,25,579.599976,455.100006,13.613,100.0,0,9142,0,255,3/7/2025
352,1497.5,42,21.17647,39.607841,88,-0.78125,-0.78125,39.0,35.686275,54.117645,21.17647,37.254902,21.17647,0,100,1.960784,36,21,584.099976,439.600006,13.73,23.921568,0,9133,0,255,3/7/2025
705,1588.25,43,23.921568,63.529411,88,-2.34375,-0.78125,63.0,32.941177,56.470589,25.882353,41.568626,23.529411,0,102,3.921569,45,13,565.299988,430.0,13.671,100.0,0,9139,0,255,3/7/2025
886,1832.75,53,21.960785,41.960785,85,-0.78125,0.0,44.0,34.509804,54.901962,22.745098,38.823528,21.960785,0,102,2.745098,46,24,579.599976,455.100006,13.613,100.0,0,9142,0,255,3/7/2025
